=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
cilium_host:     440       4    0    0    0     0          0         0    12650     169    0    0    0     0       0          0
cilium_vxlan: 141923958  107340    0    0    0     0          0         0 116770986   83114    0    0    0     0       0          0
lxc_health:   18711     249    0    0    0     0          0         0    23000     297    0    0    0     0       0          0
lxc21fcb4740c28:   59237     612    0    0    0     0          0         0    62895     724    0    0    0     0       0          0
lxc68e43c1e3d1c:   43088     428    0    0    0     0          0         0    44647     499    0    0    0     0       0          0
lxcb76f5ea19673:  393654    1023    0    0    0     0          0         0   297841    1049    0    0    0     0       0          0
lxc705f09f0c32f:  478689    3831    0    0    0     0          0         0 19031893    4962    0    0    0     0       0          0
lxc58c34a833aa8:   73107     650    0    0    0     0          0         0    84228     834    0    0    0     0       0          0
lxcef5ba70b5db0:   13180     157    0    0    0     0          0         0    33817     146    0    0    0     0       0          0
lxc62db926113cd: 1624216    7574    0    0    0     0          0         0 14122640    8552    0    0    0     0       0          0
lxc9b7c9251ef1f:  367321    1161    0    0    0     0          0         0  4291622    1554    0    0    0     0       0          0
lxc45f02aa68614: 9314174   19078    0    0    0     0          0         0 38321853   28600    0    0    0     0       0          0
lxcd483b52f70a2:    1006      13    0    0    0     0          0         0      746       7    0    0    0     0       0          0
lxc7c8cfac0dd21: 2820971   15354    0    0    0     0          0         0 33544950   14451    0    0    0     0       0          0
lxc2114efc3e0fb:   75360     686    0    0    0     0          0         0   112386     775    0    0    0     0       0          0
lxc395605be3c98:    3996      56    0    0    0     0          0         0     4170      41    0    0    0     0       0          0
lxcc239679b262b: 2800072   13392    0    0    0     0          0         0  2474647   13514    0    0    0     0       0          0
lxcbadcd8b48012:   56516     582    0    0    0     0          0         0    60584     696    0    0    0     0       0          0
lxcf692f2966c3a: 9774384   23458    0    0    0     0          0         0 54743934   26148    0    0    0     0       0          0
lxcb2b683b3795e: 4311984    7737    0    0    0     0          0         0  3116949   10605    0    0    0     0       0          0
lxc9988cbd74ee5: 69201152   19146    0    0    0     0          0         0 66360888   36325    0    0    0     0       0          0
lxcd2db8c2b52ee:  641429    2441    0    0    0     0          0         0  5523317    1757    0    0    0     0       0          0
lxca7cad674aee4: 2785170   13454    0    0    0     0          0         0  2590725   13627    0    0    0     0       0          0
lxcf00ada10eeea: 1167126    2041    0    0    0     0          0         0   745616    2411    0    0    0     0       0          0
lxc368002dd207e:  308843    1282    0    0    0     0          0         0   624408    1279    0    0    0     0       0          0
lxc6a4e53d79f96:  442030    5053    0    0    0     0          0         0   594002    5416    0    0    0     0       0          0
lxcbeb363f9c355:  366981    1355    0    0    0     0          0         0  1939546    1501    0    0    0     0       0          0
lxc2c78b72216f2:  281666    2990    0    0    0     0          0         0  6637647    2591    0    0    0     0       0          0
lxcdee8e7cc2169:  286064    2389    0    0    0     0          0         0  6342177    2526    0    0    0     0       0          0
lxc0624f3eac807: 1943045   12146    0    0    0     0          0         0  3340290   12226    0    0    0     0       0          0
lxc8e375e90f3f1:  611166    3893    0    0    0     0          0         0  1151767    3228    0    0    0     0       0          0
lxcc3844220eaa5:  878542    1556    0    0    0     0          0         0   977573    1839    0    0    0     0       0          0
lxca6dc2c6253a5:   62653     521    0    0    0     0          0         0   124900     481    0    0    0     0       0          0
lxcd24fad72aa20:   67658     374    0    0    0     0          0         0    87860     384    0    0    0     0       0          0
lxc8bd1775cbc30:  263329     292    0    0    0     0          0         0   208062     346    0    0    0     0       0          0
lxc9e48ff663bde:  268421     657    0    0    0     0          0         0    74601     784    0    0    0     0       0          0
lxc6dc4ee79b95b: 1179439    1627    0    0    0     0          0         0   244642    1533    0    0    0     0       0          0
lxc3dd2a373f57d: 2977008    1516    0    0    0     0          0         0   161274    2142    0    0    0     0       0          0
lxcc0e12b91dec1:  495300    1869    0    0    0     0          0         0  3142769    2438    0    0    0     0       0          0
lxca2e547099bdd:  458374    3355    0    0    0     0          0         0   237294    3346    0    0    0     0       0          0
lxc1a6afd8de727:  110282    1172    0    0    0     0          0         0   159084     963    0    0    0     0       0          0
lxc5ce7b377f383: 12244909   13085    0    0    0     0          0         0 10180175   15515    0    0    0     0       0          0
