=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
lxc2c70f8a2a17a: 308766974  607466    0    0    0     0          0         0 68148170  702263    0    0    0     0       0          0
lxcce9ceb8326c7: 2819460   41530    0    0    0     0          0         0  2072814   22861    0    0    0     0       0          0
enp0s31f6.110: 31176006469 12256320    0    0    0     0          0         0 6278927346 11178795    0   13    0     0       0          0
lxc9a53f333b597: 14652783321 2698864    0    0    0     0          0         0 4814832012 5114160    0    0    0     0       0          0
lxc6812410fdcd0: 2540603358 11971024    0    0    0     0          0         0 25210912854 11871617    0    0    0     0       0          0
lxc0dafef639efd: 1333798215 5156313    0    0    0     0          0         0 1564434958 9406956    0    0    0     0       0          0
lxcf56a0ea2c663: 15409925  155242    0    0    0     0          0         0 17663842  212677    0    0    0     0       0          0
lxc10ebc990a8b2: 21978674  128041    0    0    0     0          0         0 22951734  118121    0    0    0     0       0          0
lxc_health:  152788    2043    0    0    0     0          0         0   183342    2407    0    0    0     0       0          0
lxc7a5eb017a6c6: 2334569   26625    0    0    0     0          0         0 102592750   36660    0    0    0     0       0          0
=== node 192.168.2.63 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 602678407931 1939469766    0    0    0     0          0         0 602678407931 1939469766    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 1313961613241 1933349832 4136623 3950216    0 2068389          0    107888 752466417482 1609022545    0  522    0     0       0          0
cilium_net: 2147048   26092    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0  2147048   26092    0    0    0     0       0          0
cilium_vxlan: 809382960207 388396421    0    0    0     0          0         0 182819198870 349518490    0    0    0     0       0          0
lxc1bb7b04a6656: 1291750165 2277390    0    0    0     0          0         0 257406151 2247528    0    0    0     0       0          0
lxc3644398f7a01: 5056445998 12715453    0    0    0     0          0         0 3257231536 11039775    0    0    0     0       0          0
lxc2d05afcc6131: 389219561 4452237    0    0    0     0          0         0 2353592631 5175305    0    0    0     0       0          0
lxcbee3d4056801: 181217728 1881446    0    0    0     0          0         0 183810812 2099584    0    0    0     0       0          0
lxc3d502978ce09: 312795356 2223543    0    0    0     0          0         0 1114691556 2282884    0    0    0     0       0          0
lxcd5227e79d620: 707109757 6429426    0    0    0     0          0         0 6981111238 6319827    0    0    0     0       0          0
lxc105e075fea81: 14434061374 9144664    0    0    0     0          0         0 1078599995 13297890    0    0    0     0       0          0
lxcb62e90a560b7: 18973198801 9008905    0    0    0     0          0         0 4023231594 12138003    0    0    0     0       0          0
lxcc6e9911be851: 353628249 2216261    0    0    0     0          0         0 4613610880 2161176    0    0    0     0       0          0
cilium_wg0: 646317264636 569262232    0    0    0     0          0         0 166289641160 327390240  673    2    0     0       0          0
lxce1c76b2bc061: 363478463  708503    0    0    0     0          0         0 146227969  821538    0    0    0     0       0          0
enp0s31f6.110: 122785373905 29014591    0    0    0     0          0         0 13015070912 25268628    0   17    0     0       0          0
lxca6d9b20887a4: 4868572361 12063637    0    0    0     0          0         0 32378068635 12564532    0    0    0     0       0          0
lxca8b56b620213: 1334057768 5157746    0    0    0     0          0         0 1564436703 9407139    0    0    0     0       0          0
lxcc3c09589466a: 255576130 1787127    0    0    0     0          0         0 594448959 1513720    0    0    0     0       0          0
lxc95ac610146c8: 15369425  154631    0    0    0     0          0         0 17658543  213061    0    0    0     0       0          0
lxc59b8ca4af766:  894262   11124    0    0    0     0          0         0  1286522   14939    0    0    0     0       0          0
lxc26b1e5cf6d08: 74547707  211919    0    0    0     0          0         0 56767782  173623    0    0    0     0       0          0
lxc_health:  151357    2017    0    0    0     0          0         0   181782    2378    0    0    0     0       0          0
lxcead8d145a4b4: 1977593   22337    0    0    0     0          0         0 100831855   23905    0    0    0     0       0          0
=== node 192.168.2.64 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 12243930259 32300310    0    0    0     0          0         0 12243930259 32300310    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 953319440661 1261285344 1716262 4691521    0 858131          0   4541474 721220797504 1124504387    0  451    0     0       0          0
cilium_net: 10166524  139612    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0 10166524  139612    0    0    0     0       0          0
cilium_vxlan: 566159385816 701921216    0    0    0     0          0         0 365090151946 645540706    0    0    0     0       0          0
lxc7d4c37cfe422: 1214525980 2239259    0    0    0     0          0         0 250658703 2150697    0    0    0     0       0          0
lxc1e437a15dc32: 401295941 4439484    0    0    0     0          0         0 2378902237 5498154    0    0    0     0       0          0
